"site" "year" "filename" "guess1" "confidence1"
"G02" 2020 "G02_2019-08-02_0009.JPG" 0 1
"G02" 2020 "G02_2019-08-02_0010.JPG" 0 1
"G02" 2020 "G02_2019-08-02_0011.JPG" 1 0.997581362724304
"G02" 2020 "G02_2019-08-02_0012.JPG" 1 0.999652147293091
"G02" 2020 "G02_2019-08-02_0013.JPG" 3 0.999958872795105
"G02" 2020 "G02_2019-08-02_0014.JPG" 3 0.999984741210938
"G02" 2020 "G02_2019-08-03_0001.JPG" 1 0.99810791015625
"G02" 2020 "G02_2019-08-03_0002.JPG" 3 0.999902248382568
"G02" 2020 "G02_2019-08-03_0003.JPG" 3 0.999915957450867
"G02" 2020 "G02_2019-08-03_0004.JPG" 6 0.999975204467773
"G02" 2020 "G02_2019-08-03_0005.JPG" 6 1
"G02" 2020 "G02_2019-08-03_0006.JPG" 1 0.999216675758362
"G02" 2020 "G02_2019-08-03_0007.JPG" 3 0.999918103218079
"G02" 2020 "G02_2019-08-03_0008.JPG" 3 0.999972462654114
"G02" 2020 "G02_2019-08-04_0001.JPG" 1 0.993562698364258
"G02" 2020 "G02_2019-08-04_0002.JPG" 1 0.999401926994324
"G02" 2020 "G02_2019-08-04_0003.JPG" 3 0.999610483646393
"G02" 2020 "G02_2019-08-04_0004.JPG" 3 0.999854445457458
"G02" 2020 "G02_2019-08-04_0005.JPG" 3 0.999974846839905
"G02" 2020 "G02_2019-08-04_0006.JPG" 3 0.999969482421875
"G02" 2020 "G02_2019-08-04_0007.JPG" 6 1
"G02" 2020 "G02_2019-08-04_0008.JPG" 1 0.997480452060699
"G02" 2020 "G02_2019-08-04_0009.JPG" 6 0.999999403953552
"G02" 2020 "G02_2019-08-04_0010.JPG" 6 1
"G02" 2020 "G02_2019-08-04_0011.JPG" 1 0.999569237232208
"G02" 2020 "G02_2019-08-04_0012.JPG" 1 0.99755471944809
"G02" 2020 "G02_2019-08-05_0001.JPG" 1 0.997107684612274
"G02" 2020 "G02_2019-08-05_0002.JPG" 3 0.999784529209137
"G02" 2020 "G02_2019-08-05_0003.JPG" 3 0.999661803245544
"G02" 2020 "G02_2019-08-05_0004.JPG" 1 0.999077916145325
"G02" 2020 "G02_2019-08-05_0005.JPG" 1 0.998571276664734
"G02" 2020 "G02_2019-08-05_0006.JPG" 6 0.999327778816223
"G02" 2020 "G02_2019-08-05_0007.JPG" 6 0.999991297721863
"G02" 2020 "G02_2019-08-05_0008.JPG" 6 1
"G02" 2020 "G02_2019-08-05_0009.JPG" 6 0.999998688697815
"G02" 2020 "G02_2019-08-05_0010.JPG" 3 0.999986886978149
"G02" 2020 "G02_2019-08-05_0011.JPG" 3 0.999992370605469
"G02" 2020 "G02_2019-08-05_0012.JPG" 3 0.999957203865051
"G02" 2020 "G02_2019-08-05_0013.JPG" 3 0.999932408332825
"G02" 2020 "G02_2019-08-05_0014.JPG" 6 0.999948978424072
"G02" 2020 "G02_2019-08-05_0015.JPG" 6 0.999999761581421
"G02" 2020 "G02_2019-08-05_0016.JPG" 1 0.997815847396851
"G02" 2020 "G02_2019-08-06_0001.JPG" 1 0.998542189598083
"G02" 2020 "G02_2019-08-06_0002.JPG" 1 0.997806489467621
"G02" 2020 "G02_2019-08-06_0003.JPG" 1 0.998846650123596
"G02" 2020 "G02_2019-08-06_0004.JPG" 1 0.998554050922394
"G02" 2020 "G02_2019-08-06_0005.JPG" 3 0.999904155731201
"G02" 2020 "G02_2019-08-06_0006.JPG" 3 0.99988842010498
"G02" 2020 "G02_2019-08-06_0007.JPG" 3 0.999937772750854
"G02" 2020 "G02_2019-08-06_0008.JPG" 3 0.999988675117493
"G02" 2020 "G02_2019-08-07_0001.JPG" 1 0.997229635715485
"G02" 2020 "G02_2019-08-07_0002.JPG" 6 0.99999988079071
"G02" 2020 "G02_2019-08-07_0003.JPG" 6 0.999994039535522
"G02" 2020 "G02_2019-08-07_0004.JPG" 1 0.999735772609711
"G02" 2020 "G02_2019-08-07_0005.JPG" 1 0.999785244464874
"G02" 2020 "G02_2019-08-07_0006.JPG" 1 0.9997199177742
"G02" 2020 "G02_2019-08-07_0007.JPG" 3 0.998882234096527
"G02" 2020 "G02_2019-08-07_0008.JPG" 3 0.999308705329895
"G02" 2020 "G02_2019-08-07_0009.JPG" 3 0.999580800533295
"G02" 2020 "G02_2019-08-07_0010.JPG" 1 0.999135673046112
"G02" 2020 "G02_2019-08-08_0001.JPG" 1 0.999880433082581
"G02" 2020 "G02_2019-08-08_0002.JPG" 1 0.999795734882355
"G02" 2020 "G02_2019-08-08_0003.JPG" 1 0.99995756149292
"G02" 2020 "G02_2019-08-08_0004.JPG" 1 0.999795615673065
"G02" 2020 "G02_2019-08-09_0001.JPG" 6 0.99999988079071
"G02" 2020 "G02_2019-08-09_0002.JPG" 1 0.999262392520905
"G02" 2020 "G02_2019-08-09_0003.JPG" 6 0.999995350837708
"G02" 2020 "G02_2019-08-09_0004.JPG" 1 0.999712407588959
"G02" 2020 "G02_2019-08-09_0005.JPG" 1 0.998727142810822
"G02" 2020 "G02_2019-08-09_0006.JPG" 3 0.9985271692276
"G02" 2020 "G02_2019-08-09_0007.JPG" 3 0.999888062477112
"G02" 2020 "G02_2019-08-09_0008.JPG" 3 0.99933797121048
"G02" 2020 "G02_2019-08-09_0009.JPG" 3 0.999860525131226
"G02" 2020 "G02_2019-08-09_0010.JPG" 1 0.999841332435608
"G02" 2020 "G02_2019-08-09_0011.JPG" 6 0.99999988079071
"G02" 2020 "G02_2019-08-09_0012.JPG" 6 0.999997735023499
"G02" 2020 "G02_2019-08-09_0013.JPG" 1 0.999428451061249
"G02" 2020 "G02_2019-08-09_0014.JPG" 1 0.997971594333649
"G02" 2020 "G02_2019-08-10_0001.JPG" 3 0.999661564826965
"G02" 2020 "G02_2019-08-10_0002.JPG" 3 0.999953985214233
"G02" 2020 "G02_2019-08-10_0003.JPG" 3 0.999271094799042
"G02" 2020 "G02_2019-08-10_0004.JPG" 3 0.999953508377075
"G02" 2020 "G02_2019-08-10_0005.JPG" 1 0.996171534061432
"G02" 2020 "G02_2019-08-10_0006.JPG" 3 0.999785006046295
"G02" 2020 "G02_2019-08-10_0007.JPG" 3 0.999507188796997
