"G01","G02","G04","G06","G08","G10","G11","G15","G16","G19","G20","seas","sp","year"
3,4,0,1,0,0,4,0,0,0,2,"FALL","RUF",2000
3,1,0,0,0,0,2,0,0,0,0,"SPRING","RUF",2000
0,0,0,5,0,0,2,1,0,0,0,"FALL","RUT",2000
0,0,0,3,0,1,0,1,0,0,0,"SPRING","RUT",2000
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2000
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2000
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2000
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2000
18,27,8,10,3,2,29,3,3,0,15,"FALL","RUF",2001
3,2,0,0,1,1,12,1,2,1,4,"SPRING","RUF",2001
0,0,3,14,4,3,1,3,3,1,0,"FALL","RUT",2001
0,0,0,8,1,1,0,0,2,0,0,"SPRING","RUT",2001
0,0,1,0,0,0,0,0,0,0,0,"FALL","AGR",2001
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2001
0,0,0,0,0,0,1,0,0,0,0,"FALL","OEC",2001
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2001
14,10,7,26,5,20,32,19,18,6,9,"FALL","RUF",2002
6,15,0,19,1,6,21,13,14,10,17,"SPRING","RUF",2002
0,1,11,15,6,9,0,2,2,7,2,"FALL","RUT",2002
0,0,2,9,1,0,0,0,1,0,0,"SPRING","RUT",2002
0,0,1,0,1,0,1,0,0,0,0,"FALL","AGR",2002
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2002
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2002
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2002
9,1,2,1,2,1,17,1,10,0,8,"FALL","RUF",2003
1,0,0,0,0,8,6,1,5,4,5,"SPRING","RUF",2003
0,0,2,9,8,3,5,7,1,9,0,"FALL","RUT",2003
0,0,0,3,2,0,0,5,0,2,0,"SPRING","RUT",2003
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2003
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2003
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2003
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2003
6,1,0,0,0,0,1,2,0,0,0,"FALL","RUF",2004
2,0,0,0,0,1,1,0,0,0,0,"SPRING","RUF",2004
0,1,1,1,0,1,0,0,0,1,0,"FALL","RUT",2004
0,0,0,1,0,1,1,2,1,1,1,"SPRING","RUT",2004
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2004
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2004
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2004
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2004
5,5,2,2,2,1,11,0,1,1,0,"FALL","RUF",2005
1,5,0,1,0,1,3,1,0,0,1,"SPRING","RUF",2005
0,0,2,4,2,1,0,0,2,0,1,"FALL","RUT",2005
0,0,0,2,0,0,0,0,1,2,0,"SPRING","RUT",2005
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2005
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2005
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2005
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2005
4,6,0,9,6,5,14,6,3,10,12,"FALL","RUF",2006
3,5,0,1,1,3,12,0,0,0,2,"SPRING","RUF",2006
0,0,2,7,2,2,4,1,3,2,2,"FALL","RUT",2006
0,1,1,6,0,0,0,0,0,0,0,"SPRING","RUT",2006
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2006
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2006
0,0,0,0,0,0,0,0,0,1,0,"FALL","OEC",2006
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2006
21,13,6,4,11,11,7,21,10,14,17,"FALL","RUF",2007
4,0,0,3,2,9,5,1,6,7,6,"SPRING","RUF",2007
0,0,1,13,2,1,3,6,2,8,5,"FALL","RUT",2007
0,0,1,6,0,0,0,2,2,1,2,"SPRING","RUT",2007
0,0,6,0,0,0,0,0,0,0,0,"FALL","AGR",2007
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2007
1,0,0,0,0,0,1,0,0,0,0,"FALL","OEC",2007
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2007
1,0,0,0,0,0,1,0,0,0,0,"FALL","RUF",2008
3,0,0,0,3,0,0,0,0,1,0,"SPRING","RUF",2008
0,0,0,0,1,0,0,1,0,0,0,"FALL","RUT",2008
0,0,0,4,1,0,0,0,0,0,0,"SPRING","RUT",2008
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2008
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2008
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2008
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2008
0,3,0,0,1,1,3,0,0,0,0,"FALL","RUF",2009
2,0,0,0,0,0,1,0,0,0,0,"SPRING","RUF",2009
0,0,0,2,0,0,1,1,0,2,0,"FALL","RUT",2009
0,0,0,2,0,1,0,0,0,0,0,"SPRING","RUT",2009
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2009
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2009
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2009
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2009
12,23,1,12,22,15,13,1,0,4,4,"FALL","RUF",2010
1,5,0,0,9,9,4,0,0,1,7,"SPRING","RUF",2010
0,0,1,20,1,5,4,12,12,9,2,"FALL","RUT",2010
0,0,1,6,2,0,0,4,1,1,0,"SPRING","RUT",2010
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2010
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2010
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2010
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2010
17,39,17,34,36,20,27,22,38,16,27,"FALL","RUF",2011
11,25,5,7,17,10,14,9,5,2,9,"SPRING","RUF",2011
0,0,4,12,3,9,6,12,9,10,11,"FALL","RUT",2011
0,0,0,10,2,2,2,9,11,8,4,"SPRING","RUT",2011
0,0,6,5,1,0,1,1,0,0,0,"FALL","AGR",2011
0,0,0,0,1,0,0,0,0,0,0,"SPRING","AGR",2011
0,0,0,0,0,0,5,0,0,0,0,"FALL","OEC",2011
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2011
9,19,5,2,4,5,6,0,0,0,0,"FALL","RUF",2012
7,5,1,0,0,2,4,6,10,2,4,"SPRING","RUF",2012
0,0,0,11,0,0,0,0,0,0,0,"FALL","RUT",2012
0,0,0,1,0,0,0,0,0,0,0,"SPRING","RUT",2012
0,0,0,0,0,0,0,0,0,0,0,"FALL","AGR",2012
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2012
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2012
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2012
6,1,1,2,5,5,7,1,1,0,3,"FALL","RUF",2013
3,2,0,0,1,1,5,0,0,0,0,"SPRING","RUF",2013
0,0,0,8,2,0,0,1,0,1,0,"FALL","RUT",2013
0,0,0,2,0,0,0,0,0,0,0,"SPRING","RUT",2013
0,0,2,0,0,0,0,0,0,0,0,"FALL","AGR",2013
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2013
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2013
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2013
10,17,8,19,16,8,27,13,15,12,7,"FALL","RUF",2014
1,1,1,1,1,4,11,0,6,1,4,"SPRING","RUF",2014
0,0,1,12,1,1,1,7,2,7,5,"FALL","RUT",2014
0,0,0,3,0,0,0,0,0,1,0,"SPRING","RUT",2014
0,0,7,0,0,0,0,0,0,0,0,"FALL","AGR",2014
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2014
0,0,0,0,0,0,0,0,0,1,0,"FALL","OEC",2014
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2014
18,15,11,17,21,12,22,21,24,15,26,"FALL","RUF",2015
11,9,6,7,10,5,12,9,17,12,14,"SPRING","RUF",2015
0,0,4,7,2,12,0,2,0,0,0,"FALL","RUT",2015
1,0,1,7,2,2,0,0,1,3,4,"SPRING","RUT",2015
0,0,1,0,0,0,0,1,0,0,0,"FALL","AGR",2015
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2015
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2015
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2015
14,12,6,12,9,9,9,6,4,9,1,"FALL","RUF",2016
3,8,0,1,8,5,9,10,12,12,10,"SPRING","RUF",2016
0,0,2,16,0,2,4,0,0,0,0,"FALL","RUT",2016
0,0,0,4,0,1,0,0,0,0,0,"SPRING","RUT",2016
0,0,3,0,0,0,0,0,0,0,0,"FALL","AGR",2016
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2016
0,0,0,0,0,0,0,0,0,1,0,"FALL","OEC",2016
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2016
2,4,0,0,1,0,4,0,0,3,0,"FALL","RUF",2017
2,1,0,0,0,0,0,0,0,0,0,"SPRING","RUF",2017
0,0,0,0,2,0,0,1,0,0,0,"FALL","RUT",2017
0,0,0,0,0,0,0,0,0,0,0,"SPRING","RUT",2017
0,0,1,0,0,0,0,0,0,0,0,"FALL","AGR",2017
0,0,0,0,0,0,0,0,0,0,0,"SPRING","AGR",2017
0,0,0,0,0,0,0,0,0,0,0,"FALL","OEC",2017
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2017
13,18,0,9,12,0,20,19,11,10,10,"FALL","RUF",2018
4,4,0,0,3,2,12,2,2,6,2,"SPRING","RUF",2018
0,0,2,11,4,0,1,1,0,0,2,"FALL","RUT",2018
0,0,0,0,0,0,0,1,1,0,0,"SPRING","RUT",2018
0,0,9,0,0,0,0,0,0,0,0,"FALL","AGR",2018
0,0,1,0,1,0,0,0,0,0,0,"SPRING","AGR",2018
0,0,5,0,0,0,1,1,0,0,0,"FALL","OEC",2018
0,0,0,0,0,0,0,0,0,0,0,"SPRING","OEC",2018
25,28,2,5,10,0,20,29,27,13,18,"FALL","RUF",2019
