"","T12","T13","T21","T22","T31","T32","T51","T52","seas","sp","year"
"1",7,6,26,22,12,1,5,8,"FALL","RUF",1998
"2",5,12,5,13,5,0,0,1,"SPRING","RUF",1998
"3",4,7,3,0,8,3,4,4,"FALL","RUT",1998
"4",2,1,2,0,3,2,1,2,"SPRING","RUT",1998
"5",0,5,0,0,0,0,1,0,"FALL","AGR",1998
"6",0,3,0,0,0,0,0,0,"SPRING","AGR",1998
"7",0,0,0,0,0,0,0,0,"FALL","OEC",1998
"8",0,0,0,0,0,0,0,0,"SPRING","OEC",1998
"9",1,0,14,10,1,1,11,11,"FALL","RUF",1999
"10",0,0,8,2,0,0,5,0,"SPRING","RUF",1999
"11",1,3,1,0,5,1,1,1,"FALL","RUT",1999
"12",0,0,0,0,5,3,0,0,"SPRING","RUT",1999
"13",0,0,0,0,0,0,1,0,"FALL","AGR",1999
"14",0,0,0,0,0,0,0,0,"SPRING","AGR",1999
"15",0,0,0,0,0,0,0,0,"FALL","OEC",1999
"16",0,0,0,0,0,0,0,0,"SPRING","OEC",1999
"17",1,3,10,6,1,5,2,0,"FALL","RUF",2000
"18",0,0,3,0,0,0,0,0,"SPRING","RUF",2000
"19",0,0,2,0,1,0,1,0,"FALL","RUT",2000
"20",0,0,1,0,1,1,0,0,"SPRING","RUT",2000
"21",0,0,0,0,0,0,0,0,"FALL","AGR",2000
"22",0,0,0,0,0,0,0,0,"SPRING","AGR",2000
"23",0,0,0,0,0,0,0,0,"FALL","OEC",2000
"24",0,0,0,0,0,0,0,0,"SPRING","OEC",2000
"25",2,4,22,28,14,9,6,7,"FALL","RUF",2001
"26",2,2,5,12,2,2,8,1,"SPRING","RUF",2001
"27",5,4,7,0,6,6,2,0,"FALL","RUT",2001
"28",2,0,1,0,0,0,0,0,"SPRING","RUT",2001
"29",1,0,0,0,0,0,4,0,"FALL","AGR",2001
"30",0,0,0,0,0,0,0,0,"SPRING","AGR",2001
"31",0,0,0,0,0,0,0,0,"FALL","OEC",2001
"32",0,0,0,0,0,0,0,0,"SPRING","OEC",2001
"33",15,15,19,27,9,17,15,8,"FALL","RUF",2002
"34",14,15,15,14,2,5,2,7,"SPRING","RUF",2002
"35",2,0,2,0,14,11,5,6,"FALL","RUT",2002
"36",1,0,0,0,5,3,1,0,"SPRING","RUT",2002
"37",0,0,0,0,0,0,4,2,"FALL","AGR",2002
"38",0,0,0,0,0,0,0,0,"SPRING","AGR",2002
"39",0,0,0,0,0,0,0,0,"FALL","OEC",2002
"40",0,0,0,0,0,0,0,0,"SPRING","OEC",2002
"41",9,11,2,23,7,12,4,10,"FALL","RUF",2003
"42",6,9,4,1,0,4,7,5,"SPRING","RUF",2003
"43",2,1,0,0,2,6,0,0,"FALL","RUT",2003
"44",0,0,0,0,1,3,0,1,"SPRING","RUT",2003
"45",1,0,1,0,0,0,4,0,"FALL","AGR",2003
"46",0,0,0,0,0,0,0,0,"SPRING","AGR",2003
"47",0,0,0,0,0,0,0,0,"FALL","OEC",2003
"48",0,0,0,0,0,0,0,0,"SPRING","OEC",2003
"49",0,1,5,4,0,1,0,0,"FALL","RUF",2004
"50",0,1,0,1,1,1,0,0,"SPRING","RUF",2004
"51",0,0,0,0,0,2,0,1,"FALL","RUT",2004
"52",0,0,0,0,0,0,0,0,"SPRING","RUT",2004
"53",0,0,0,0,0,0,0,0,"FALL","AGR",2004
"54",0,0,0,0,0,0,0,0,"SPRING","AGR",2004
"55",0,0,0,0,0,0,0,0,"FALL","OEC",2004
"56",0,0,0,0,0,0,0,0,"SPRING","OEC",2004
"57",0,0,1,3,3,0,0,0,"FALL","RUF",2005
"58",0,0,5,2,1,0,0,0,"SPRING","RUF",2005
"59",5,0,5,0,0,1,0,0,"FALL","RUT",2005
"60",0,0,0,0,0,0,0,0,"SPRING","RUT",2005
"61",0,0,0,0,0,0,0,0,"FALL","AGR",2005
"62",0,0,0,0,0,0,0,0,"SPRING","AGR",2005
"63",0,0,0,0,0,0,0,0,"FALL","OEC",2005
"64",0,0,0,0,0,0,0,0,"SPRING","OEC",2005
"65",7,8,26,20,7,4,4,4,"FALL","RUF",2006
"66",1,1,11,16,2,0,3,1,"SPRING","RUF",2006
"67",1,4,0,0,0,3,0,0,"FALL","RUT",2006
"68",0,0,0,0,0,0,0,0,"SPRING","RUT",2006
"69",0,0,0,0,0,0,2,0,"FALL","AGR",2006
"70",0,0,0,0,0,0,0,0,"SPRING","AGR",2006
"71",0,0,0,0,0,0,0,0,"FALL","OEC",2006
"72",0,0,0,0,0,0,0,0,"SPRING","OEC",2006
"73",9,14,31,12,14,11,1,11,"FALL","RUF",2007
"74",11,5,12,9,5,5,1,2,"SPRING","RUF",2007
"75",4,3,0,0,1,9,11,1,"FALL","RUT",2007
"76",1,1,1,0,0,3,6,0,"SPRING","RUT",2007
"77",4,6,0,0,3,0,8,0,"FALL","AGR",2007
"78",0,0,0,0,5,0,0,0,"SPRING","AGR",2007
