"year","seas","rufocanusC","rufoCold","rufocanusS","rufoSold","rufocanusN","rufoNold","PorsSum"
2000,"FALL",7,8,2,3,7,7,28
2000,"SPRING",2,6,0,0,4,4,3
2001,"FALL",51,80,21,17,53,57,92
2001,"SPRING",13,27,8,6,5,5,34
2002,"FALL",66,170,52,34,31,37,125
2002,"SPRING",42,96,54,42,21,21,74
2003,"FALL",20,46,19,19,12,12,78
2003,"SPRING",6,26,15,13,1,1,36
2004,"FALL",2,5,2,0,7,7,11
2004,"SPRING",1,2,0,1,2,2,4
2005,"FALL",17,21,2,1,12,12,7
2005,"SPRING",4,10,2,1,6,6,8
2006,"FALL",30,64,31,23,10,11,80
2006,"SPRING",17,31,2,3,8,8,35
2007,"FALL",28,90,62,43,40,50,103
2007,"SPRING",11,49,20,15,4,4,50
2008,"FALL",1,1,0,0,1,1,5
2008,"SPRING",3,3,1,1,3,3,4
2009,"FALL",6,7,0,0,3,4,28
2009,"SPRING",1,1,0,0,2,2,4
2010,"FALL",54,84,9,10,36,41,111
2010,"SPRING",13,27,8,8,6,7,54
2011,"FALL",120,275,103,76,73,92,270
2011,"SPRING",50,105,25,22,41,41,64
2012,"FALL",15,30,0,0,33,36,43
2012,"SPRING",5,43,22,10,13,14,23
2013,"FALL",15,30,5,3,8,8,42
2013,"SPRING",6,10,0,0,5,5,9
2014,"FALL",73,173,47,44,35,36,133
2014,"SPRING",15,47,11,6,3,3,55
2015,"FALL",74,196,86,81,44,56,176
2015,"SPRING",33,120,52,44,26,28,109
2016,"FALL",33,66,20,35,32,33,91
2016,"SPRING",18,75,44,38,11,12,73
2017,"FALL",5,13,3,3,6,6,29
2017,"SPRING",0,0,0,1,3,3,9
2018,"FALL",44,74,50,20,31,31,138
2018,"SPRING",15,33,12,8,8,8,38
2019,"FALL",35,91,87,31,55,55,113
2019,"SPRING",17,43,43,17,22,22,87
2020,"FALL",6,7,5,4,26,26,19
2020,"SPRING",1,3,3,1,16,16,9
2021,"FALL",16,16,0,0,25,25,50
2021,"SPRING",2,3,1,0,2,2,11
2022,"FALL",78,97,21,2,51,51,181
2022,"SPRING",35,45,10,0,13,13,72
2023,"FALL",85,143,104,46,73,73,239
2023,"SPRING",38,60,31,9,26,26,114
2024,"FALL",6,20,17,3,37,37,25
2024,"SPRING",0,4,4,0,25,25,9
2025,"FALL",0,0,0,0,0,0,0
2025,"SPRING",3,3,0,0,4,4,5
