"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0001.JPG"	"IMG_0001.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 11:17:29"	"M"	"1 2"	1	2	15	"S750HK01271082"	159	223	32	0	"G11_2021-06-17_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0002.JPG"	"IMG_0002.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 11:17:30"	"M"	"2 2"	1	2	15	"S750HK01271082"	159	223	32	0	"G11_2021-06-17_0005.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0003.JPG"	"IMG_0003.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 11:18:51"	"M"	"1 2"	2	2	17	"S750HK01271082"	143	239	16	0	"G11_2021-06-17_0006.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0004.JPG"	"IMG_0004.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 11:18:52"	"M"	"2 2"	2	2	17	"S750HK01271082"	143	239	16	0	"G11_2021-06-17_0007.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0005.JPG"	"IMG_0005.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 13:00:00"	"T"	"0 0"	1	2	15	"S750HK01271082"	143	239	16	0	"G11_2021-06-17_0008.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0006.JPG"	"IMG_0006.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 18:19:07"	"M"	"1 2"	3	2	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-17_0009.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0007.JPG"	"IMG_0007.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:17 18:19:07"	"M"	"2 2"	3	2	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-17_0010.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0008.JPG"	"IMG_0008.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:18 01:00:00"	"T"	"0 0"	2	2	9	"S750HK01271082"	143	239	16	0	"G11_2021-06-18_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0009.JPG"	"IMG_0009.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:18 13:00:00"	"T"	"0 0"	3	2	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-18_0002.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:18 21:57:17"	"M"	"1 2"	4	2	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-18_0003.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0011.JPG"	"IMG_0011.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:18 21:57:17"	"M"	"2 2"	4	2	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-18_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0012.JPG"	"IMG_0012.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:18 23:48:10"	"M"	"1 2"	5	2	9	"S750HK01271082"	143	239	16	0	"G11_2021-06-18_0005.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0013.JPG"	"IMG_0013.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:18 23:48:10"	"M"	"2 2"	5	2	9	"S750HK01271082"	143	239	16	0	"G11_2021-06-18_0006.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0014.JPG"	"IMG_0014.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 01:00:00"	"T"	"0 0"	4	2	9	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0015.JPG"	"IMG_0015.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 08:43:16"	"M"	"1 2"	6	2	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0002.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0016.JPG"	"IMG_0016.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 08:43:16"	"M"	"2 2"	6	2	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0003.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0017.JPG"	"IMG_0017.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 09:34:54"	"M"	"1 2"	7	2	11	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 09:34:54"	"M"	"2 2"	7	2	11	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0005.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 12:57:47"	"M"	"1 2"	8	2	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0006.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 12:57:48"	"M"	"2 2"	8	2	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0007.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 13:00:00"	"T"	"0 0"	5	2	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0008.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 18:56:29"	"M"	"1 2"	9	2	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0009.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:19 18:56:29"	"M"	"2 2"	9	2	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-19_0010.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0024.JPG"	"IMG_0024.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 01:00:00"	"T"	"0 0"	6	3	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0025.JPG"	"IMG_0025.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 10:00:29"	"M"	"1 2"	10	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0002.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0026.JPG"	"IMG_0026.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 10:00:29"	"M"	"2 2"	10	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0003.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0027.JPG"	"IMG_0027.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 10:04:27"	"M"	"1 2"	11	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0028.JPG"	"IMG_0028.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 10:04:28"	"M"	"2 2"	11	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0005.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0029.JPG"	"IMG_0029.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 13:00:00"	"T"	"0 0"	7	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0006.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0030.JPG"	"IMG_0030.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 16:30:33"	"M"	"1 2"	12	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0007.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0031.JPG"	"IMG_0031.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 16:30:33"	"M"	"2 2"	12	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0008.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0032.JPG"	"IMG_0032.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 16:33:47"	"M"	"1 2"	13	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0009.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0033.JPG"	"IMG_0033.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:20 16:33:47"	"M"	"2 2"	13	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-20_0010.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0034.JPG"	"IMG_0034.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 01:00:00"	"T"	"0 0"	8	3	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0035.JPG"	"IMG_0035.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 11:57:33"	"M"	"1 2"	14	3	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0002.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0036.JPG"	"IMG_0036.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 11:57:34"	"M"	"2 2"	14	3	14	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0003.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0037.JPG"	"IMG_0037.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 13:00:00"	"T"	"0 0"	9	3	15	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0038.JPG"	"IMG_0038.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 17:54:43"	"M"	"1 2"	15	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0005.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0039.JPG"	"IMG_0039.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 17:54:43"	"M"	"2 2"	15	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0006.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0040.JPG"	"IMG_0040.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 17:59:18"	"M"	"1 2"	16	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0007.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0041.JPG"	"IMG_0041.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 17:59:19"	"M"	"2 2"	16	3	13	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0008.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0042.JPG"	"IMG_0042.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 20:26:59"	"M"	"1 2"	17	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0009.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0043.JPG"	"IMG_0043.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 20:26:59"	"M"	"2 2"	17	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0010.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0044.JPG"	"IMG_0044.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 20:28:59"	"M"	"1 2"	18	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0011.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0045.JPG"	"IMG_0045.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:21 20:29:00"	"M"	"2 2"	18	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-21_0012.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0046.JPG"	"IMG_0046.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 00:35:55"	"M"	"1 2"	19	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0047.JPG"	"IMG_0047.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 00:35:56"	"M"	"2 2"	19	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0002.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0048.JPG"	"IMG_0048.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 00:37:09"	"M"	"1 2"	20	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0003.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0049.JPG"	"IMG_0049.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 00:37:09"	"M"	"2 2"	20	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0050.JPG"	"IMG_0050.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 01:00:00"	"T"	"0 0"	10	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0005.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0051.JPG"	"IMG_0051.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 13:00:00"	"T"	"0 0"	11	3	18	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0006.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0052.JPG"	"IMG_0052.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 19:52:34"	"M"	"1 2"	21	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0007.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0053.JPG"	"IMG_0053.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 19:52:34"	"M"	"2 2"	21	3	12	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0008.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0054.JPG"	"IMG_0054.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 20:34:44"	"M"	"1 2"	22	3	11	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0009.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0055.JPG"	"IMG_0055.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 20:34:45"	"M"	"2 2"	22	3	11	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0010.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0056.JPG"	"IMG_0056.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 23:45:41"	"M"	"1 2"	23	3	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0011.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0057.JPG"	"IMG_0057.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:22 23:45:42"	"M"	"2 2"	23	3	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-22_0012.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0058.JPG"	"IMG_0058.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:23 01:00:00"	"T"	"0 0"	12	4	10	"S750HK01271082"	143	239	16	0	"G11_2021-06-23_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0059.JPG"	"IMG_0059.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:23 06:12:05"	"M"	"1 2"	24	4	9	"S750HK01271082"	143	239	16	0	"G11_2021-06-23_0002.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0060.JPG"	"IMG_0060.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:23 06:12:06"	"M"	"2 2"	24	4	9	"S750HK01271082"	143	239	16	0	"G11_2021-06-23_0003.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0061.JPG"	"IMG_0061.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:23 13:00:00"	"T"	"0 0"	13	4	11	"S750HK01271082"	143	239	16	0	"G11_2021-06-23_0004.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0062.JPG"	"IMG_0062.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:24 01:00:00"	"T"	"0 0"	14	4	11	"S750HK01271082"	143	239	16	0	"G11_2021-06-24_0001.JPG"
"/mnt/coat-ns8028k/small_rodent_module/small_mammal_images/porsanger/images_raw/G11/2022/IMG_0063.JPG"	"IMG_0063.JPG"	"RECONYX"	"SM750 SECURITY"	"2021:06:24 13:00:00"	"T"	"0 0"	15	4	18	"S750HK01271082"	143	239	16	0	"G11_2021-06-24_0002.JPG"
