Image.Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-09-27 04-51-16 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;27;9;2014;27/09/2014;04:51:16;39;4;S750HG03177873;SK;
2014-09-27 04-51-16 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;27;9;2014;27/09/2014;04:51:16;39;4;S750HG03177873;;
2014-09-27 13-00-00 T.JPG;Valdres;Box1Spring2015;T;27;9;2014;27/09/2014;13:00:00;45;7;S750HG03177873;;
2014-09-27 20-51-04 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;27;9;2014;27/09/2014;20:51:04;46;8;S750HG03177873;;
2014-09-27 20-51-04 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;27;9;2014;27/09/2014;20:51:04;46;8;S750HG03177873;;
2014-09-28 01-00-00 T.JPG;Valdres;Box1Spring2015;T;28;9;2014;28/09/2014;01:00:00;45;7;S750HG03177873;;
2014-09-28 13-00-00 T.JPG;Valdres;Box1Spring2015;T;28;9;2014;28/09/2014;13:00:00;47;8;S750HG03177873;;
2014-09-28 20-24-36 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;28;9;2014;28/09/2014;20:24:36;49;9;S750HG03177873;SK;
2014-09-28 20-24-37 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;28;9;2014;28/09/2014;20:24:37;49;9;S750HG03177873;;
2014-09-28 20-30-05 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;28;9;2014;28/09/2014;20:30:05;48;9;S750HG03177873;SK;
2014-09-28 20-30-06 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;28;9;2014;28/09/2014;20:30:06;48;9;S750HG03177873;;
2014-09-29 01-00-00 T.JPG;Valdres;Box1Spring2015;T;29;9;2014;29/09/2014;01:00:00;43;6;S750HG03177873;;
2014-09-29 13-00-00 T.JPG;Valdres;Box1Spring2015;T;29;9;2014;29/09/2014;13:00:00;42;6;S750HG03177873;;
2014-09-29 19-59-46 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;29;9;2014;29/09/2014;19:59:46;41;5;S750HG03177873;M;
2014-09-29 19-59-46 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;29;9;2014;29/09/2014;19:59:46;41;5;S750HG03177873;;
