Image Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-09-27 01-00-00 T.JPG;Valdres;Box2Spring2015;T;27;9;2014;27/09/2014;01:00:00;37;3;S750HG02176085;;
2014-09-27 13-00-00 T.JPG;Valdres;Box2Spring2015;T;27;9;2014;27/09/2014;13:00:00;52;11;S750HG02176085;;
2014-09-28 01-00-00 T.JPG;Valdres;Box2Spring2015;T;28;9;2014;28/09/2014;01:00:00;44;7;S750HG02176085;;
2014-09-28 13-00-00 T.JPG;Valdres;Box2Spring2015;T;28;9;2014;28/09/2014;13:00:00;49;9;S750HG02176085;;
2014-09-29 01-00-00 T.JPG;Valdres;Box2Spring2015;T;29;9;2014;29/09/2014;01:00:00;41;5;S750HG02176085;;
2014-09-29 05-11-55 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;9;2014;29/09/2014;05:11:55;37;3;S750HG02176085;;
2014-09-29 05-11-55 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;9;2014;29/09/2014;05:11:55;37;3;S750HG02176085;;
2014-09-29 13-00-00 T.JPG;Valdres;Box2Spring2015;T;29;9;2014;29/09/2014;13:00:00;41;5;S750HG02176085;;
2014-09-29 16-54-21 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;9;2014;29/09/2014;16:54:21;46;8;S750HG02176085;R;S
2014-09-29 16-54-21 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;9;2014;29/09/2014;16:54:21;46;8;S750HG02176085;;
2014-09-29 22-44-01 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;29;9;2014;29/09/2014;22:44:01;32;0;S750HG02176085;K;
2014-09-29 22-44-02 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;29;9;2014;29/09/2014;22:44:02;32;0;S750HG02176085;;
2014-09-30 01-00-00 T.JPG;Valdres;Box2Spring2015;T;30;9;2014;30/09/2014;01:00:00;29;-2;S750HG02176085;;
2014-09-30 13-00-00 T.JPG;Valdres;Box2Spring2015;T;30;9;2014;30/09/2014;13:00:00;38;3;S750HG02176085;;
2014-09-30 23-16-45 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;30;9;2014;30/09/2014;23:16:45;36;2;S750HG02176085;K;
2014-09-30 23-16-45 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;30;9;2014;30/09/2014;23:16:45;36;2;S750HG02176085;;
2014-10-01 01-00-00 T.JPG;Valdres;Box2Spring2015;T;1;10;2014;01/10/2014;01:00:00;34;1;S750HG02176085;;
2014-10-01 13-00-00 T.JPG;Valdres;Box2Spring2015;T;1;10;2014;01/10/2014;13:00:00;41;5;S750HG02176085;;
2014-10-01 23-26-35 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;1;10;2014;01/10/2014;23:26:35;44;7;S750HG02176085;K;
2014-10-01 23-26-35 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;1;10;2014;01/10/2014;23:26:35;44;7;S750HG02176085;;
2014-10-02 01-00-00 T.JPG;Valdres;Box2Spring2015;T;2;10;2014;02/10/2014;01:00:00;44;7;S750HG02176085;;
2014-10-02 05-33-31 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;2;10;2014;02/10/2014;05:33:31;40;4;S750HG02176085;K;
2014-10-02 05-33-32 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;2;10;2014;02/10/2014;05:33:32;40;4;S750HG02176085;;
2014-10-02 13-00-00 T.JPG;Valdres;Box2Spring2015;T;2;10;2014;02/10/2014;13:00:00;45;7;S750HG02176085;;
2014-10-02 23-22-54 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;2;10;2014;02/10/2014;23:22:54;31;-1;S750HG02176085;K;
