"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwMS5KUEc="	"IMG_0001.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 17:58:41"	"M"	"1 2"	1	5	18	"S750HK01271089"	159	223	16	0	"H3_2019-10-15_0001.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwMi5KUEc="	"IMG_0002.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 17:58:42"	"M"	"2 2"	1	5	18	"S750HK01271089"	159	223	16	0	"H3_2019-10-15_0002.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwMy5KUEc="	"IMG_0003.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:20:04"	"M"	"1 2"	2	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0003.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwNC5KUEc="	"IMG_0004.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:20:04"	"M"	"2 2"	2	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0004.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwNS5KUEc="	"IMG_0005.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:21:06"	"M"	"1 2"	3	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0005.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwNi5KUEc="	"IMG_0006.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:21:06"	"M"	"2 2"	3	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0006.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwNy5KUEc="	"IMG_0007.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:29:59"	"M"	"1 2"	4	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0007.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwOC5KUEc="	"IMG_0008.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:29:59"	"M"	"2 2"	4	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0008.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAwOS5KUEc="	"IMG_0009.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:31:00"	"M"	"1 2"	5	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0009.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxMC5KUEc="	"IMG_0010.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:31:01"	"M"	"2 2"	5	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0010.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxMS5KUEc="	"IMG_0011.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:32:01"	"M"	"1 2"	6	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0011.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxMi5KUEc="	"IMG_0012.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:32:02"	"M"	"2 2"	6	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0012.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxMy5KUEc="	"IMG_0013.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:33:05"	"M"	"1 2"	7	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0013.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxNC5KUEc="	"IMG_0014.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:33:06"	"M"	"2 2"	7	5	19	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0014.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxNS5KUEc="	"IMG_0015.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:37:58"	"M"	"1 2"	8	5	18	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0015.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxNi5KUEc="	"IMG_0016.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:37:58"	"M"	"2 2"	8	5	18	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0016.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxNy5KUEc="	"IMG_0017.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:38:58"	"M"	"1 2"	9	5	18	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0017.JPG"
"base64:Ly9hZC51aXQubm8vbnRmYWsvT2tvc3lzdGVtRmlubm1hcmsvYmlsZGVyX3NtYWduYWdlcmZvdG9ib2tzZXIvRGF0YS9JbWFnZXMgb3JnYW5pc2VkIGJ5IFJlZ2lvbl9zaXRlX3llYXIvSGFha295L0hhYWv4eV9mb3RvYm9rc18yMDIwL0gzXzIwMjBfanVuaS9JTUdfMDAxOC5KUEc="	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:10:15 18:38:58"	"M"	"2 2"	9	5	18	"S750HK01271089"	143	239	16	0	"H3_2019-10-15_0018.JPG"
