Image Name;Site ;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2015-06-10 13-00-00 T.JPG;Valdres;Box3Fall2015;T;10;6;2015;10/06/2015;13:00:00;70;21;S750HG02176104;;
2015-06-11 01-00-00 T.JPG;Valdres;Box3Fall2015;T;11;6;2015;11/06/2015;01:00:00;45;7;S750HG02176104;;
2015-06-11 13-00-00 T.JPG;Valdres;Box3Fall2015;T;11;6;2015;11/06/2015;13:00:00;59;15;S750HG02176104;;
2015-06-12 01-00-00 T.JPG;Valdres;Box3Fall2015;T;12;6;2015;12/06/2015;01:00:00;47;8;S750HG02176104;;
2015-06-12 13-00-00 T.JPG;Valdres;Box3Fall2015;T;12;6;2015;12/06/2015;13:00:00;56;13;S750HG02176104;;
2015-06-13 01-00-00 T.JPG;Valdres;Box3Fall2015;T;13;6;2015;13/06/2015;01:00:00;43;6;S750HG02176104;;
2015-06-13 13-00-00 T.JPG;Valdres;Box3Fall2015;T;13;6;2015;13/06/2015;13:00:00;54;12;S750HG02176104;;
2015-06-13 14-47-48 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;13;6;2015;13/06/2015;14:47:48;55;13;S750HG02176104;;
2015-06-13 14-47-48 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;13;6;2015;13/06/2015;14:47:48;55;13;S750HG02176104;;
2015-06-14 01-00-00 T.JPG;Valdres;Box3Fall2015;T;14;6;2015;14/06/2015;01:00:00;46;8;S750HG02176104;;
2015-06-14 13-00-00 T.JPG;Valdres;Box3Fall2015;T;14;6;2015;14/06/2015;13:00:00;54;12;S750HG02176104;;
2015-06-15 01-00-00 T.JPG;Valdres;Box3Fall2015;T;15;6;2015;15/06/2015;01:00:00;35;2;S750HG02176104;;
2015-06-15 13-00-00 T.JPG;Valdres;Box3Fall2015;T;15;6;2015;15/06/2015;13:00:00;53;12;S750HG02176104;;
2015-06-16 01-00-00 T.JPG;Valdres;Box3Fall2015;T;16;6;2015;16/06/2015;01:00:00;36;2;S750HG02176104;;
2015-06-16 13-00-00 T.JPG;Valdres;Box3Fall2015;T;16;6;2015;16/06/2015;13:00:00;56;13;S750HG02176104;;
2015-06-17 01-00-00 T.JPG;Valdres;Box3Fall2015;T;17;6;2015;17/06/2015;01:00:00;37;3;S750HG02176104;;
2015-06-17 13-00-00 T.JPG;Valdres;Box3Fall2015;T;17;6;2015;17/06/2015;13:00:00;45;7;S750HG02176104;;
2015-06-18 01-00-00 T.JPG;Valdres;Box3Fall2015;T;18;6;2015;18/06/2015;01:00:00;46;8;S750HG02176104;;
2015-06-18 13-00-00 T.JPG;Valdres;Box3Fall2015;T;18;6;2015;18/06/2015;13:00:00;50;10;S750HG02176104;;
2015-06-19 01-00-00 T.JPG;Valdres;Box3Fall2015;T;19;6;2015;19/06/2015;01:00:00;47;8;S750HG02176104;;
2015-06-19 13-00-00 T.JPG;Valdres;Box3Fall2015;T;19;6;2015;19/06/2015;13:00:00;54;12;S750HG02176104;;
2015-06-20 01-00-00 T.JPG;Valdres;Box3Fall2015;T;20;6;2015;20/06/2015;01:00:00;45;7;S750HG02176104;;
2015-06-20 13-00-00 T.JPG;Valdres;Box3Fall2015;T;20;6;2015;20/06/2015;13:00:00;57;14;S750HG02176104;;
2015-06-21 01-00-00 T.JPG;Valdres;Box3Fall2015;T;21;6;2015;21/06/2015;01:00:00;49;9;S750HG02176104;;
2015-06-21 13-00-00 T.JPG;Valdres;Box3Fall2015;T;21;6;2015;21/06/2015;13:00:00;59;15;S750HG02176104;;
2015-06-22 01-00-00 T.JPG;Valdres;Box3Fall2015;T;22;6;2015;22/06/2015;01:00:00;47;8;S750HG02176104;;
2015-06-22 13-00-00 T.JPG;Valdres;Box3Fall2015;T;22;6;2015;22/06/2015;13:00:00;55;13;S750HG02176104;;
2015-06-23 00-22-42 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;23;6;2015;23/06/2015;00:22:42;50;10;S750HG02176104;M;
2015-06-23 00-22-42 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;23;6;2015;23/06/2015;00:22:42;50;10;S750HG02176104;;
2015-06-23 01-00-00 T.JPG;Valdres;Box3Fall2015;T;23;6;2015;23/06/2015;01:00:00;50;10;S750HG02176104;;
2015-06-23 13-00-00 T.JPG;Valdres;Box3Fall2015;T;23;6;2015;23/06/2015;13:00:00;56;13;S750HG02176104;;
2015-06-24 01-00-00 T.JPG;Valdres;Box3Fall2015;T;24;6;2015;24/06/2015;01:00:00;46;8;S750HG02176104;;
2015-06-24 13-00-00 T.JPG;Valdres;Box3Fall2015;T;24;6;2015;24/06/2015;13:00:00;54;12;S750HG02176104;;
2015-06-25 00-41-17 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;25;6;2015;25/06/2015;00:41:17;45;7;S750HG02176104;;
2015-06-25 00-41-18 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;25;6;2015;25/06/2015;00:41:18;45;7;S750HG02176104;;
2015-06-25 01-00-00 T.JPG;Valdres;Box3Fall2015;T;25;6;2015;25/06/2015;01:00:00;45;7;S750HG02176104;;
2015-06-25 13-00-00 T.JPG;Valdres;Box3Fall2015;T;25;6;2015;25/06/2015;13:00:00;49;9;S750HG02176104;;
2015-06-26 01-00-00 T.JPG;Valdres;Box3Fall2015;T;26;6;2015;26/06/2015;01:00:00;44;7;S750HG02176104;;
2015-06-26 13-00-00 T.JPG;Valdres;Box3Fall2015;T;26;6;2015;26/06/2015;13:00:00;57;14;S750HG02176104;;
2015-06-27 01-00-00 T.JPG;Valdres;Box3Fall2015;T;27;6;2015;27/06/2015;01:00:00;50;10;S750HG02176104;;
2015-06-27 13-00-00 T.JPG;Valdres;Box3Fall2015;T;27;6;2015;27/06/2015;13:00:00;64;18;S750HG02176104;;
2015-06-28 01-00-00 T.JPG;Valdres;Box3Fall2015;T;28;6;2015;28/06/2015;01:00:00;47;8;S750HG02176104;;
2015-06-28 08-49-56 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;28;6;2015;28/06/2015;08:49:56;53;12;S750HG02176104;;
2015-06-28 08-49-56 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;28;6;2015;28/06/2015;08:49:56;53;12;S750HG02176104;;
2015-06-28 13-00-00 T.JPG;Valdres;Box3Fall2015;T;28;6;2015;28/06/2015;13:00:00;66;19;S750HG02176104;;
2015-06-28 15-11-25 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;28;6;2015;28/06/2015;15:11:25;67;19;S750HG02176104;;
2015-06-28 15-11-25 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;28;6;2015;28/06/2015;15:11:25;67;19;S750HG02176104;;
2015-06-28 15-50-26 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;28;6;2015;28/06/2015;15:50:26;68;20;S750HG02176104;;
2015-06-28 15-50-27 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;28;6;2015;28/06/2015;15:50:27;68;20;S750HG02176104;;
2015-06-29 01-00-00 T.JPG;Valdres;Box3Fall2015;T;29;6;2015;29/06/2015;01:00:00;54;12;S750HG02176104;;
2015-06-29 13-00-00 T.JPG;Valdres;Box3Fall2015;T;29;6;2015;29/06/2015;13:00:00;62;17;S750HG02176104;;
2015-06-30 01-00-00 T.JPG;Valdres;Box3Fall2015;T;30;6;2015;30/06/2015;01:00:00;50;10;S750HG02176104;;
2015-06-30 08-18-31 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;30;6;2015;30/06/2015;08:18:31;51;11;S750HG02176104;;
2015-06-30 08-18-31 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;30;6;2015;30/06/2015;08:18:31;51;11;S750HG02176104;;
2015-06-30 13-00-00 T.JPG;Valdres;Box3Fall2015;T;30;6;2015;30/06/2015;13:00:00;61;16;S750HG02176104;;
2015-07-01 01-00-00 T.JPG;Valdres;Box3Fall2015;T;1;7;2015;01/07/2015;01:00:00;54;12;S750HG02176104;;
2015-07-01 11-35-08 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;1;7;2015;01/07/2015;11:35:08;67;19;S750HG02176104;;
2015-07-01 11-35-08 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;1;7;2015;01/07/2015;11:35:08;67;19;S750HG02176104;;
2015-07-01 13-00-00 T.JPG;Valdres;Box3Fall2015;T;1;7;2015;01/07/2015;13:00:00;71;22;S750HG02176104;;
2015-07-01 15-31-47 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;1;7;2015;01/07/2015;15:31:47;73;23;S750HG02176104;;
2015-07-01 15-31-47 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;1;7;2015;01/07/2015;15:31:47;73;23;S750HG02176104;;
2015-07-02 01-00-00 T.JPG;Valdres;Box3Fall2015;T;2;7;2015;02/07/2015;01:00:00;54;12;S750HG02176104;;
2015-07-02 09-55-52 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;2;7;2015;02/07/2015;09:55:52;62;17;S750HG02176104;;
2015-07-02 09-55-52 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;2;7;2015;02/07/2015;09:55:52;62;17;S750HG02176104;;
2015-07-02 13-00-00 T.JPG;Valdres;Box3Fall2015;T;2;7;2015;02/07/2015;13:00:00;71;22;S750HG02176104;;
2015-07-02 13-10-50 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;2;7;2015;02/07/2015;13:10:50;71;22;S750HG02176104;;
2015-07-02 13-10-51 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;2;7;2015;02/07/2015;13:10:51;71;22;S750HG02176104;;
2015-07-03 01-00-00 T.JPG;Valdres;Box3Fall2015;T;3;7;2015;03/07/2015;01:00:00;53;12;S750HG02176104;;
2015-07-03 13-00-00 T.JPG;Valdres;Box3Fall2015;T;3;7;2015;03/07/2015;13:00:00;60;16;S750HG02176104;;
2015-07-03 15-49-04 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;3;7;2015;03/07/2015;15:49:04;70;21;S750HG02176104;;
2015-07-03 15-49-04 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;3;7;2015;03/07/2015;15:49:04;70;21;S750HG02176104;;
2015-07-04 01-00-00 T.JPG;Valdres;Box3Fall2015;T;4;7;2015;04/07/2015;01:00:00;51;11;S750HG02176104;;
2015-07-04 13-00-00 T.JPG;Valdres;Box3Fall2015;T;4;7;2015;04/07/2015;13:00:00;67;19;S750HG02176104;;
2015-07-04 18-12-47 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;4;7;2015;04/07/2015;18:12:47;70;21;S750HG02176104;;
2015-07-04 18-12-47 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;4;7;2015;04/07/2015;18:12:47;70;21;S750HG02176104;;
2015-07-05 01-00-00 T.JPG;Valdres;Box3Fall2015;T;5;7;2015;05/07/2015;01:00:00;58;14;S750HG02176104;;
2015-07-05 13-00-00 T.JPG;Valdres;Box3Fall2015;T;5;7;2015;05/07/2015;13:00:00;72;22;S750HG02176104;;
2015-07-05 16-45-09 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;5;7;2015;05/07/2015;16:45:09;73;23;S750HG02176104;;
2015-07-05 16-45-10 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;5;7;2015;05/07/2015;16:45:10;73;23;S750HG02176104;;
2015-07-06 01-00-00 T.JPG;Valdres;Box3Fall2015;T;6;7;2015;06/07/2015;01:00:00;55;13;S750HG02176104;;
2015-07-06 13-00-00 T.JPG;Valdres;Box3Fall2015;T;6;7;2015;06/07/2015;13:00:00;60;16;S750HG02176104;;
2015-07-07 01-00-00 T.JPG;Valdres;Box3Fall2015;T;7;7;2015;07/07/2015;01:00:00;50;10;S750HG02176104;;
2015-07-07 13-00-00 T.JPG;Valdres;Box3Fall2015;T;7;7;2015;07/07/2015;13:00:00;63;17;S750HG02176104;;
2015-07-07 17-07-44 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;7;7;2015;07/07/2015;17:07:44;65;18;S750HG02176104;;
2015-07-07 17-07-44 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;7;7;2015;07/07/2015;17:07:44;65;18;S750HG02176104;;
2015-07-08 01-00-00 T.JPG;Valdres;Box3Fall2015;T;8;7;2015;08/07/2015;01:00:00;54;12;S750HG02176104;;
2015-07-08 08-16-03 M 1_2.JPG;Valdres;Box3Fall2015;M 1/2;8;7;2015;08/07/2015;08:16:03;52;11;S750HG02176104;;
2015-07-08 08-16-03 M 2_2.JPG;Valdres;Box3Fall2015;M 2/2;8;7;2015;08/07/2015;08:16:03;52;11;S750HG02176104;;
2015-07-08 13-00-00 T.JPG;Valdres;Box3Fall2015;T;8;7;2015;08/07/2015;13:00:00;54;12;S750HG02176104;;
2015-07-09 01-00-00 T.JPG;Valdres;Box3Fall2015;T;9;7;2015;09/07/2015;01:00:00;49;9;S750HG02176104;;
2015-07-09 13-00-00 T.JPG;Valdres;Box3Fall2015;T;9;7;2015;09/07/2015;13:00:00;57;14;S750HG02176104;;
2015-07-10 01-00-00 T.JPG;Valdres;Box3Fall2015;T;10;7;2015;10/07/2015;01:00:00;44;7;S750HG02176104;;
2015-07-10 13-00-00 T.JPG;Valdres;Box3Fall2015;T;10;7;2015;10/07/2015;13:00:00;56;13;S750HG02176104;;
2015-07-11 01-00-00 T.JPG;Valdres;Box3Fall2015;T;11;7;2015;11/07/2015;01:00:00;45;7;S750HG02176104;;
2015-07-11 13-00-00 T.JPG;Valdres;Box3Fall2015;T;11;7;2015;11/07/2015;13:00:00;61;16;S750HG02176104;;
