"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0001.JPG"	"IMG_0001.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 14:21:24"	"M"	"1 2"	1	6	17	"P750HK04275844"	159	223	16	0	"H4_2017-11-11_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0002.JPG"	"IMG_0002.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 14:21:25"	"M"	"2 2"	1	6	17	"P750HK04275844"	159	223	16	0	"H4_2017-11-11_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0003.JPG"	"IMG_0003.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 14:22:43"	"M"	"1 2"	2	6	17	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0003.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0004.JPG"	"IMG_0004.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 14:22:44"	"M"	"2 2"	2	6	17	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0004.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0005.JPG"	"IMG_0005.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 15:21:22"	"M"	"1 2"	3	6	8	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0005.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0006.JPG"	"IMG_0006.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 15:21:22"	"M"	"2 2"	3	6	8	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0006.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0007.JPG"	"IMG_0007.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 15:30:38"	"M"	"1 2"	4	6	8	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0007.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0008.JPG"	"IMG_0008.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 15:30:38"	"M"	"2 2"	4	6	8	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0008.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0009.JPG"	"IMG_0009.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 15:33:22"	"M"	"1 2"	5	6	8	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0009.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0010.JPG"	"IMG_0010.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 15:33:22"	"M"	"2 2"	5	6	8	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0010.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0011.JPG"	"IMG_0011.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 17:52:24"	"M"	"1 2"	6	6	-1	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0011.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0012.JPG"	"IMG_0012.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 17:52:24"	"M"	"2 2"	6	6	-1	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0012.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0013.JPG"	"IMG_0013.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 23:19:43"	"M"	"1 2"	7	6	-3	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0013.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0014.JPG"	"IMG_0014.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:11 23:19:44"	"M"	"2 2"	7	6	-3	"P750HK04275844"	143	239	16	0	"H4_2017-11-11_0014.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0015.JPG"	"IMG_0015.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 00:23:00"	"M"	"1 2"	8	6	-3	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0001.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0016.JPG"	"IMG_0016.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 00:23:00"	"M"	"2 2"	8	6	-3	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0002.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0017.JPG"	"IMG_0017.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 01:00:00"	"T"	"0 0"	1	6	-3	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0003.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 04:34:20"	"M"	"1 2"	9	6	-4	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0004.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 04:34:21"	"M"	"2 2"	9	6	-4	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0005.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 04:41:58"	"M"	"1 2"	10	6	-4	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0006.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 04:41:58"	"M"	"2 2"	10	6	-4	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0007.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 09:07:53"	"M"	"1 2"	11	6	-4	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0008.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 09:07:53"	"M"	"2 2"	11	6	-4	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0009.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0024.JPG"	"IMG_0024.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 10:58:03"	"M"	"1 2"	12	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0010.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0025.JPG"	"IMG_0025.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 10:58:04"	"M"	"2 2"	12	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0011.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0026.JPG"	"IMG_0026.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 13:00:00"	"T"	"0 0"	2	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0012.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0027.JPG"	"IMG_0027.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 14:02:45"	"M"	"1 2"	13	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0013.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0028.JPG"	"IMG_0028.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 14:02:45"	"M"	"2 2"	13	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0014.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0029.JPG"	"IMG_0029.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 14:05:25"	"M"	"1 2"	14	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0015.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0030.JPG"	"IMG_0030.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 14:05:26"	"M"	"2 2"	14	6	-5	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0016.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0031.JPG"	"IMG_0031.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 15:16:07"	"M"	"1 2"	15	6	-6	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0017.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0032.JPG"	"IMG_0032.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 15:16:07"	"M"	"2 2"	15	6	-6	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0018.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0033.JPG"	"IMG_0033.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 16:24:24"	"M"	"1 2"	16	6	-6	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0019.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0034.JPG"	"IMG_0034.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 16:24:24"	"M"	"2 2"	16	6	-6	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0020.JPG"
"//ad.uit.no/ntfak/OkosystemFinnmark/bilder_smagnagerfotobokser/Data/Images organised by Region_site_year/Haakoy/Haakoy_fotoboks_2018/H4_2018/IMG_0035.JPG"	"IMG_0035.JPG"	"RECONYX"	"PM750 PROFESSIONAL"	"2017:11:12 18:38:48"	"M"	"1 2"	17	6	-6	"P750HK04275844"	143	239	16	0	"H4_2017-11-12_0021.JPG"
