Image Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2015-06-11 01-00-00 T.JPG;Valdres;Box5Fall2015;T;11;6;2015;11/06/2015;01:00:00;45;7;S750HG03177827;;
2015-06-11 13-00-00 T.JPG;Valdres;Box5Fall2015;T;11;6;2015;11/06/2015;13:00:00;52;11;S750HG03177827;;
2015-06-12 01-00-00 T.JPG;Valdres;Box5Fall2015;T;12;6;2015;12/06/2015;01:00:00;47;8;S750HG03177827;;
2015-06-12 13-00-00 T.JPG;Valdres;Box5Fall2015;T;12;6;2015;12/06/2015;13:00:00;51;11;S750HG03177827;;
2015-06-13 01-00-00 T.JPG;Valdres;Box5Fall2015;T;13;6;2015;13/06/2015;01:00:00;48;9;S750HG03177827;;
2015-06-13 13-00-00 T.JPG;Valdres;Box5Fall2015;T;13;6;2015;13/06/2015;13:00:00;49;9;S750HG03177827;;
2015-06-14 01-00-00 T.JPG;Valdres;Box5Fall2015;T;14;6;2015;14/06/2015;01:00:00;46;8;S750HG03177827;;
2015-06-14 13-00-00 T.JPG;Valdres;Box5Fall2015;T;14;6;2015;14/06/2015;13:00:00;47;8;S750HG03177827;;
2015-06-15 01-00-00 T.JPG;Valdres;Box5Fall2015;T;15;6;2015;15/06/2015;01:00:00;40;4;S750HG03177827;;
2015-06-15 13-00-00 T.JPG;Valdres;Box5Fall2015;T;15;6;2015;15/06/2015;13:00:00;46;8;S750HG03177827;;
2015-06-16 01-00-00 T.JPG;Valdres;Box5Fall2015;T;16;6;2015;16/06/2015;01:00:00;41;5;S750HG03177827;;
2015-06-16 13-00-00 T.JPG;Valdres;Box5Fall2015;T;16;6;2015;16/06/2015;13:00:00;49;9;S750HG03177827;;
2015-06-17 01-00-00 T.JPG;Valdres;Box5Fall2015;T;17;6;2015;17/06/2015;01:00:00;42;6;S750HG03177827;;
2015-06-17 13-00-00 T.JPG;Valdres;Box5Fall2015;T;17;6;2015;17/06/2015;13:00:00;42;6;S750HG03177827;;
2015-06-18 01-00-00 T.JPG;Valdres;Box5Fall2015;T;18;6;2015;18/06/2015;01:00:00;44;7;S750HG03177827;;
2015-06-18 13-00-00 T.JPG;Valdres;Box5Fall2015;T;18;6;2015;18/06/2015;13:00:00;46;8;S750HG03177827;;
2015-06-19 01-00-00 T.JPG;Valdres;Box5Fall2015;T;19;6;2015;19/06/2015;01:00:00;45;7;S750HG03177827;;
2015-06-19 13-00-00 T.JPG;Valdres;Box5Fall2015;T;19;6;2015;19/06/2015;13:00:00;49;9;S750HG03177827;;
2015-06-20 01-00-00 T.JPG;Valdres;Box5Fall2015;T;20;6;2015;20/06/2015;01:00:00;46;8;S750HG03177827;;
2015-06-20 05-59-23 M 1_2.JPG;Valdres;Box5Fall2015;M 1/2;20;6;2015;20/06/2015;05:59:23;42;6;S750HG03177827;;
2015-06-20 05-59-24 M 2_2.JPG;Valdres;Box5Fall2015;M 2/2;20;6;2015;20/06/2015;05:59:24;42;6;S750HG03177827;;
2015-06-20 12-03-00 M 1_2.JPG;Valdres;Box5Fall2015;M 1/2;20;6;2015;20/06/2015;12:03:00;50;10;S750HG03177827;;
2015-06-20 12-03-00 M 2_2.JPG;Valdres;Box5Fall2015;M 2/2;20;6;2015;20/06/2015;12:03:00;50;10;S750HG03177827;;
2015-06-20 13-00-00 T.JPG;Valdres;Box5Fall2015;T;20;6;2015;20/06/2015;13:00:00;51;11;S750HG03177827;;
2015-06-21 01-00-00 T.JPG;Valdres;Box5Fall2015;T;21;6;2015;21/06/2015;01:00:00;49;9;S750HG03177827;;
2015-06-21 13-00-00 T.JPG;Valdres;Box5Fall2015;T;21;6;2015;21/06/2015;13:00:00;55;13;S750HG03177827;;
2015-06-22 01-00-00 T.JPG;Valdres;Box5Fall2015;T;22;6;2015;22/06/2015;01:00:00;48;9;S750HG03177827;;
2015-06-22 13-00-00 T.JPG;Valdres;Box5Fall2015;T;22;6;2015;22/06/2015;13:00:00;53;12;S750HG03177827;;
2015-06-23 01-00-00 T.JPG;Valdres;Box5Fall2015;T;23;6;2015;23/06/2015;01:00:00;49;9;S750HG03177827;;
2015-06-23 13-00-00 T.JPG;Valdres;Box5Fall2015;T;23;6;2015;23/06/2015;13:00:00;51;11;S750HG03177827;;
2015-06-24 01-00-00 T.JPG;Valdres;Box5Fall2015;T;24;6;2015;24/06/2015;01:00:00;47;8;S750HG03177827;;
2015-06-24 11-35-36 M 1_2.JPG;Valdres;Box5Fall2015;M 1/2;24;6;2015;24/06/2015;11:35:36;48;9;S750HG03177827;;
2015-06-24 11-35-36 M 2_2.JPG;Valdres;Box5Fall2015;M 2/2;24;6;2015;24/06/2015;11:35:36;48;9;S750HG03177827;;
2015-06-24 13-00-00 T.JPG;Valdres;Box5Fall2015;T;24;6;2015;24/06/2015;13:00:00;49;9;S750HG03177827;;
2015-06-25 01-00-00 T.JPG;Valdres;Box5Fall2015;T;25;6;2015;25/06/2015;01:00:00;45;7;S750HG03177827;;
2015-06-25 13-00-00 T.JPG;Valdres;Box5Fall2015;T;25;6;2015;25/06/2015;13:00:00;44;7;S750HG03177827;;
2015-06-26 01-00-00 T.JPG;Valdres;Box5Fall2015;T;26;6;2015;26/06/2015;01:00:00;44;7;S750HG03177827;;
2015-06-26 13-00-00 T.JPG;Valdres;Box5Fall2015;T;26;6;2015;26/06/2015;13:00:00;50;10;S750HG03177827;;
