Name;Station;Date;SnowDepth
Tromsø;SN90450;01.01.2017;28
Tromsø;SN90450;02.01.2017;30
Tromsø;SN90450;03.01.2017;28
Tromsø;SN90450;04.01.2017;28
Tromsø;SN90450;05.01.2017;26
Tromsø;SN90450;06.01.2017;24
Tromsø;SN90450;07.01.2017;30
Tromsø;SN90450;08.01.2017;33
Tromsø;SN90450;09.01.2017;29
Tromsø;SN90450;10.01.2017;36
Tromsø;SN90450;11.01.2017;35
Tromsø;SN90450;12.01.2017;35
Tromsø;SN90450;13.01.2017;33
Tromsø;SN90450;14.01.2017;33
Tromsø;SN90450;15.01.2017;33
Tromsø;SN90450;16.01.2017;35
Tromsø;SN90450;17.01.2017;29
Tromsø;SN90450;18.01.2017;37
Tromsø;SN90450;19.01.2017;55
Tromsø;SN90450;20.01.2017;64
Tromsø;SN90450;21.01.2017;66
Tromsø;SN90450;22.01.2017;73
Tromsø;SN90450;23.01.2017;85
Tromsø;SN90450;24.01.2017;84
Tromsø;SN90450;25.01.2017;66
Tromsø;SN90450;26.01.2017;49
Tromsø;SN90450;27.01.2017;40
Tromsø;SN90450;28.01.2017;33
Tromsø;SN90450;29.01.2017;31
Tromsø;SN90450;30.01.2017;28
Tromsø;SN90450;31.01.2017;28
Tromsø;SN90450;01.02.2017;29
Tromsø;SN90450;02.02.2017;35
Tromsø;SN90450;03.02.2017;29
Tromsø;SN90450;04.02.2017;28
Tromsø;SN90450;05.02.2017;28
Tromsø;SN90450;06.02.2017;28
Tromsø;SN90450;07.02.2017;28
Tromsø;SN90450;08.02.2017;28
Tromsø;SN90450;09.02.2017;28
Tromsø;SN90450;10.02.2017;28
Tromsø;SN90450;11.02.2017;28
Tromsø;SN90450;12.02.2017;26
Tromsø;SN90450;13.02.2017;19
Tromsø;SN90450;14.02.2017;14
Tromsø;SN90450;15.02.2017;13
Tromsø;SN90450;16.02.2017;9
Tromsø;SN90450;17.02.2017;14
Tromsø;SN90450;18.02.2017;28
Tromsø;SN90450;19.02.2017;26
Tromsø;SN90450;20.02.2017;32
Tromsø;SN90450;21.02.2017;53
Tromsø;SN90450;22.02.2017;56
Tromsø;SN90450;23.02.2017;52
Tromsø;SN90450;24.02.2017;56
Tromsø;SN90450;25.02.2017;65
Tromsø;SN90450;26.02.2017;64
Tromsø;SN90450;27.02.2017;65
Tromsø;SN90450;28.02.2017;60
Tromsø;SN90450;01.03.2017;58
Tromsø;SN90450;02.03.2017;54
Tromsø;SN90450;03.03.2017;53
Tromsø;SN90450;04.03.2017;55
Tromsø;SN90450;05.03.2017;53
Tromsø;SN90450;06.03.2017;52
Tromsø;SN90450;07.03.2017;50
Tromsø;SN90450;08.03.2017;49
Tromsø;SN90450;09.03.2017;48
Tromsø;SN90450;10.03.2017;47
Tromsø;SN90450;11.03.2017;63
Tromsø;SN90450;12.03.2017;74
Tromsø;SN90450;13.03.2017;69
Tromsø;SN90450;14.03.2017;59
Tromsø;SN90450;15.03.2017;50
Tromsø;SN90450;16.03.2017;49
Tromsø;SN90450;17.03.2017;49
Tromsø;SN90450;18.03.2017;59
Tromsø;SN90450;19.03.2017;60
Tromsø;SN90450;20.03.2017;58
Tromsø;SN90450;21.03.2017;55
Tromsø;SN90450;22.03.2017;54
Tromsø;SN90450;23.03.2017;55
Tromsø;SN90450;24.03.2017;62
Tromsø;SN90450;25.03.2017;61
Tromsø;SN90450;26.03.2017;53
Tromsø;SN90450;27.03.2017;68
Tromsø;SN90450;28.03.2017;74
Tromsø;SN90450;29.03.2017;91
Tromsø;SN90450;30.03.2017;91
Tromsø;SN90450;31.03.2017;93
Tromsø;SN90450;01.04.2017;98
Tromsø;SN90450;02.04.2017;88
Tromsø;SN90450;03.04.2017;85
Tromsø;SN90450;04.04.2017;69
Tromsø;SN90450;05.04.2017;60
Tromsø;SN90450;06.04.2017;65
Tromsø;SN90450;07.04.2017;67
Tromsø;SN90450;08.04.2017;62
Tromsø;SN90450;09.04.2017;61
Tromsø;SN90450;10.04.2017;65
Tromsø;SN90450;11.04.2017;64
Tromsø;SN90450;12.04.2017;67
Tromsø;SN90450;13.04.2017;67
Tromsø;SN90450;14.04.2017;65
Tromsø;SN90450;15.04.2017;63
Tromsø;SN90450;16.04.2017;65
Tromsø;SN90450;17.04.2017;65
Tromsø;SN90450;18.04.2017;64
Tromsø;SN90450;19.04.2017;72
Tromsø;SN90450;20.04.2017;72
Tromsø;SN90450;21.04.2017;65
Tromsø;SN90450;22.04.2017;77
Tromsø;SN90450;23.04.2017;68
Tromsø;SN90450;24.04.2017;66
Tromsø;SN90450;25.04.2017;65
Tromsø;SN90450;26.04.2017;64
Tromsø;SN90450;27.04.2017;64
Tromsø;SN90450;28.04.2017;60
Tromsø;SN90450;29.04.2017;56
Tromsø;SN90450;30.04.2017;53
Tromsø;SN90450;01.05.2017;53
Tromsø;SN90450;02.05.2017;54
Tromsø;SN90450;03.05.2017;53
Tromsø;SN90450;04.05.2017;49
Tromsø;SN90450;05.05.2017;43
Tromsø;SN90450;06.05.2017;37
Tromsø;SN90450;07.05.2017;45
Tromsø;SN90450;08.05.2017;45
